id,country,capital_city,region,population_in_millions,happiness_rank
17,Switzerland,Bern,Western Europe,8.57,1
8,Iceland,Reykjavik,Western Europe,0.37,2
3,Denmark,Copenhagen,Western Europe,5.87,3
20,Norway,Oslo,Western Europe,5.42,4
14,Canada,Ottawa,North America,38.52,5
5,Finland,Helsinki,Western Europe,5.54,6
19,Netherlands,Amsterdam,Western Europe,17.73,7
15,Sweden,Stockholm,Western Europe,10.4,8
12,New Zealand,Wellington,Australia & New Zealand,5.13,9
2,Australia,Canberra,Australia & New Zealand,26.02,10
11,Israel,Jerusalem,Middle East & Northern Africa,9.53,11
6,Costa Rica,San Jose,Latin America & Caribbean,5.09,12
13,Austria,Vienna,Western Europe,9.03,13
1,Mexico,Mexico City,North America,126.01,14
7,United States,"Washington, D.C.",North America,331.9,15
16,Brazil,Brasilia,Latin America & Caribbean,214.05,16
9,Luxembourg,Luxembourg City,Western Europe,0.65,17
18,Ireland,Dublin,Western Europe,6.57,18
10,Belgium,Brussels,Western Europe,11.49,19
4,United Arab Emirates,Abu Dhabi,Middle East & Northern Africa,9.28,20
